method,path,boundary,rate_group,user_rpm,handler_hint,source,review
POST,/api/ai/generate,session + CSRF for writes,expensive,12,require_admin;_auth,app.py:1295,handler ownership review required
POST,/api/ai/prompt-guidance,session + CSRF for writes,api,300,require_admin;_auth,app.py:1247,handler ownership review required
POST,/api/ai/prompt-preview,session + CSRF for writes,api,300,require_admin;_auth,app.py:1241,handler ownership review required
PUT,/api/ai/questions/{question_id}/status,session + CSRF for writes,api,300,require_admin;_auth,app.py:1354,handler ownership review required
PUT,/api/ai/review/runs/{rid}/questions/{index},session + CSRF for writes,api,300,require_admin;_auth,ai_review.py:86,handler ownership review required
POST,/api/ai/review/save,session + CSRF for writes,api,300,require_admin;_auth,ai_review.py:77,handler ownership review required
GET,/api/ai/runs,session + CSRF for writes,api,300,require_admin;_auth,app.py:1257,handler ownership review required
GET,/api/ai/runs/{run_id},session + CSRF for writes,api,300,require_admin;_auth,app.py:1280,handler ownership review required
POST,/api/ai/runs/{run_id}/regenerate,session + CSRF for writes,expensive,12,require_admin;_auth,app.py:1329,handler ownership review required
POST,/api/ai/runs/{run_id}/save,session + CSRF for writes,api,300,require_admin;_auth,app.py:1340,handler ownership review required
POST,/api/auth/admin-login,public allowlist,api,300,_session,platform_api.py:274,handler ownership review required
POST,/api/auth/bootstrap-admin,session + CSRF for writes,api,300,,platform_api.py:258,handler ownership review required
GET,/api/auth/config,public allowlist,api,300,,platform_api.py:213,handler ownership review required
POST,/api/auth/google,public allowlist,api,300,,platform_api.py:227,handler ownership review required
POST,/api/auth/logout,session + CSRF for writes,api,300,_auth;_session,platform_api.py:318,handler ownership review required
GET,/api/auth/me,session + CSRF for writes,api,300,_auth,platform_api.py:219,handler ownership review required
POST,/api/auth/mfa/setup,session + CSRF for writes,api,300,_auth,security_mfa.py:45,handler ownership review required
POST,/api/auth/mfa/verify,session + CSRF for writes,api,300,_auth;_session,security_mfa.py:63,handler ownership review required
POST,/api/auth/mock,session + CSRF for writes,api,300,,platform_api.py:253,handler ownership review required
POST,/api/auth/refresh,session + CSRF for writes,api,300,_auth;_session,platform_api.py:325,handler ownership review required
POST,/api/auth/student-registration-login,session + CSRF for writes,api,300,_session,platform_api.py:296,handler ownership review required
GET,/api/dashboard,session + CSRF for writes,api,300,_auth;_session,platform_api.py:880,handler ownership review required
POST,/api/enquiries,public allowlist,api,300,,engagement.py:57,handler ownership review required
GET,/api/enquiries/challenge,public allowlist,api,300,,engagement.py:31,handler ownership review required
GET,/api/exam-registrations,session + CSRF for writes,api,300,,app.py:1365,handler ownership review required
POST,/api/exam-registrations,session + CSRF for writes,api,300,,app.py:1390,handler ownership review required
GET,/api/exam-registrations/analytics,session + CSRF for writes,api,300,,app.py:1412,handler ownership review required
GET,/api/exam-registrations/confirm,session + CSRF for writes,api,300,,app.py:1382,handler ownership review required
GET,/api/exam-registrations/export.csv,session + CSRF for writes,api,300,,app.py:1431,handler ownership review required
GET,/api/exam-registrations/export.pdf,session + CSRF for writes,api,300,,app.py:1443,handler ownership review required
POST,/api/exam-registrations/request-confirmation,session + CSRF for writes,api,300,,app.py:1370,handler ownership review required
GET,/api/exam-registrations/sample-paper,session + CSRF for writes,api,300,,app.py:1523,handler ownership review required
GET,/api/exam-registrations/sample-paper.pdf,session + CSRF for writes,api,300,,app.py:1528,handler ownership review required
DELETE,/api/exam-registrations/{registration_id},session + CSRF for writes,api,300,,app.py:1554,handler ownership review required
PUT,/api/exam-registrations/{registration_id},session + CSRF for writes,api,300,,app.py:1398,handler ownership review required
PUT,/api/exam-registrations/{registration_id}/status,session + CSRF for writes,api,300,,app.py:1403,handler ownership review required
GET,/api/exams,session + CSRF for writes,api,300,_auth,platform_api.py:509,handler ownership review required
GET,/api/exams/{eid}/leaderboard,session + CSRF for writes,api,300,_auth,result_features.py:54,handler ownership review required
GET,/api/exams/{exam_id},session + CSRF for writes,api,300,_auth,platform_api.py:515,handler ownership review required
POST,/api/exams/{exam_id}/enroll,session + CSRF for writes,api,300,_auth,platform_api.py:574,handler ownership review required
POST,/api/exams/{exam_id}/sessions,session + CSRF for writes,api,300,_auth;_session,platform_api.py:617,handler ownership review required
GET,/api/export,session + CSRF for writes,api,300,,app.py:2045,handler ownership review required
GET,/api/facets,session + CSRF for writes,api,300,,app.py:1232,handler ownership review required
GET,/api/flag/access,session + CSRF for writes,api,300,_auth,flag_api.py:63,handler ownership review required
GET,/api/flag/epidemiology/defaults,session + CSRF for writes,api,300,,epidemiology_model.py:64,handler ownership review required
POST,/api/flag/epidemiology/forecast,session + CSRF for writes,api,300,,epidemiology_model.py:69,handler ownership review required
POST,/api/flag/epidemiology/suggest,session + CSRF for writes,api,300,,epidemiology_model.py:74,handler ownership review required
GET,/api/flag/materials,session + CSRF for writes,api,300,,flag_api.py:145,handler ownership review required
POST,/api/flag/materials,session + CSRF for writes,api,300,require_admin;_auth,flag_api.py:184,handler ownership review required
GET,/api/flag/materials/{mid}/download,session + CSRF for writes,api,300,require_admin;_auth,flag_api.py:229,handler ownership review required
POST,/api/flag/materials/{mid}/explain,session + CSRF for writes,expensive,12,,flag_api.py:296,handler ownership review required
GET,/api/flag/materials/{mid}/pages/{number},session + CSRF for writes,api,300,,flag_api.py:243,handler ownership review required
GET,/api/flag/materials/{mid}/pages/{number}/image,session + CSRF for writes,api,300,,flag_api.py:252,handler ownership review required
GET,/api/flag/materials/{mid}/sheet,session + CSRF for writes,api,300,,flag_api.py:350,handler ownership review required
GET,/api/flag/members,session + CSRF for writes,api,300,require_admin;_auth,flag_api.py:81,handler ownership review required
PUT,/api/flag/members,session + CSRF for writes,api,300,require_admin;_auth,flag_api.py:88,handler ownership review required
POST,/api/flag/trial,session + CSRF for writes,api,300,_auth,engagement.py:97,handler ownership review required
GET,/api/grand-tests,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:200,handler ownership review required
POST,/api/grand-tests,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:221,handler ownership review required
GET,/api/grand-tests/admin/document-library,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:104,handler ownership review required
PUT,/api/grand-tests/admin/documents/{document_id}/availability,session + CSRF for writes,admin-write,60,actor,grand_tests.py:136,handler ownership review required
GET,/api/grand-tests/documents,session + CSRF for writes,api,300,actor,grand_tests.py:73,handler ownership review required
POST,/api/grand-tests/documents,session + CSRF for writes,upload,20,actor,grand_tests.py:83,handler ownership review required
GET,/api/grand-tests/documents/available,session + CSRF for writes,api,300,,grand_tests.py:128,handler ownership review required
GET,/api/grand-tests/{gid},session + CSRF for writes,api,300,actor;workspace,grand_tests.py:241,handler ownership review required
POST,/api/grand-tests/{gid}/digitize,session + CSRF for writes,expensive,12,actor;workspace,grand_tests.py:351,handler ownership review required
POST,/api/grand-tests/{gid}/finalize,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:464,handler ownership review required
POST,/api/grand-tests/{gid}/generate,session + CSRF for writes,expensive,12,actor;workspace,grand_tests.py:479,handler ownership review required
GET,/api/grand-tests/{gid}/page-status,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:382,handler ownership review required
PUT,/api/grand-tests/{gid}/page-status,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:395,handler ownership review required
GET,/api/grand-tests/{gid}/pages/{page},session + CSRF for writes,api,300,actor;workspace,grand_tests.py:273,handler ownership review required
POST,/api/grand-tests/{gid}/pdf,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:255,handler ownership review required
POST,/api/grand-tests/{gid}/publish,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:519,handler ownership review required
PUT,/api/grand-tests/{gid}/questions,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:413,handler ownership review required
POST,/api/grand-tests/{gid}/save-questions,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:440,handler ownership review required
PUT,/api/grand-tests/{gid}/schedule,session + CSRF for writes,api,300,actor;workspace,grand_tests.py:504,handler ownership review required
GET,/api/health,public allowlist,api,300,,app.py:2093,handler ownership review required
POST,/api/import,session + CSRF for writes,api,300,,app.py:2055,handler ownership review required
POST,/api/mobile/auth/approve,session + CSRF for writes,api,300,_auth,mobile_api.py:41,handler ownership review required
POST,/api/mobile/auth/exchange,public allowlist,api,300,_auth;_session,mobile_api.py:48,handler ownership review required
POST,/api/mobile/auth/start,public allowlist,api,300,_auth,mobile_api.py:34,handler ownership review required
GET,/api/mobile/config,public allowlist,api,300,,mobile_api.py:32,handler ownership review required
DELETE,/api/mobile/devices,session + CSRF for writes,api,300,_auth,mobile_api.py:82,handler ownership review required
POST,/api/mobile/devices,session + CSRF for writes,api,300,_auth,mobile_api.py:70,handler ownership review required
DELETE,/api/mobile/devices/current,session + CSRF for writes,api,300,_auth,mobile_api.py:76,handler ownership review required
GET,/api/my/analytics/dimensions,session + CSRF for writes,api,300,_session,platform_api.py:726,handler ownership review required
GET,/api/my/analytics/overview,session + CSRF for writes,api,300,,platform_api.py:738,handler ownership review required
GET,/api/my/analytics/recommendations,session + CSRF for writes,api,300,,platform_api.py:762,handler ownership review required
GET,/api/my/analytics/topics,session + CSRF for writes,api,300,,platform_api.py:755,handler ownership review required
GET,/api/my/analytics/trend,session + CSRF for writes,api,300,,platform_api.py:747,handler ownership review required
GET,/api/my/exams,session + CSRF for writes,api,300,_auth;_session,platform_api.py:588,handler ownership review required
GET,/api/my/results,session + CSRF for writes,api,300,_auth;_session,platform_api.py:674,handler ownership review required
GET,/api/my/results/{sid},session + CSRF for writes,api,300,_auth;_session,platform_api.py:772,handler ownership review required
POST,/api/ocr,session + CSRF for writes,expensive,12,,app.py:2026,handler ownership review required
GET,/api/ocr/status,session + CSRF for writes,api,300,,app.py:2021,handler ownership review required
POST,/api/pdf/parse,session + CSRF for writes,expensive,12,,app.py:2008,handler ownership review required
POST,/api/pdf/preview,session + CSRF for writes,api,300,,app.py:1816,handler ownership review required
GET,/api/proctor/exams/{exam_id}/dashboard,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:400,handler ownership review required
GET,/api/programs,session + CSRF for writes,api,300,_auth,blueprint_api.py:39,handler ownership review required
POST,/api/programs,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:61,handler ownership review required
GET,/api/programs/contracts/all,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:76,handler ownership review required
GET,/api/programs/papers/review-queue,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:68,handler ownership review required
DELETE,/api/programs/{pid},session + CSRF for writes,api,300,,blueprint_api.py:134,handler ownership review required
GET,/api/programs/{pid},session + CSRF for writes,api,300,_auth,blueprint_api.py:94,handler ownership review required
PUT,/api/programs/{pid},session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:104,handler ownership review required
GET,/api/programs/{pid}/audit,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:311,handler ownership review required
GET,/api/programs/{pid}/blueprints,session + CSRF for writes,api,300,_auth,blueprint_api.py:246,handler ownership review required
POST,/api/programs/{pid}/blueprints,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:258,handler ownership review required
POST,/api/programs/{pid}/blueprints/{bid}/clone,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:347,handler ownership review required
GET,/api/programs/{pid}/blueprints/{bid}/compare,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:364,handler ownership review required
GET,/api/programs/{pid}/blueprints/{bid}/effective/{vid},session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:293,handler ownership review required
GET,/api/programs/{pid}/blueprints/{bid}/versions,session + CSRF for writes,api,300,_auth,blueprint_api.py:271,handler ownership review required
POST,/api/programs/{pid}/blueprints/{bid}/versions,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:283,handler ownership review required
POST,/api/programs/{pid}/blueprints/{bid}/versions/{vid}/transition,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:325,handler ownership review required
POST,/api/programs/{pid}/blueprints/{bid}/versions/{vid}/validate,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:378,handler ownership review required
GET,/api/programs/{pid}/curricula,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:465,handler ownership review required
POST,/api/programs/{pid}/curricula,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:454,handler ownership review required
POST,/api/programs/{pid}/curricula/{vid}/nodes,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:476,handler ownership review required
POST,/api/programs/{pid}/curricula/{vid}/publish,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:498,handler ownership review required
POST,/api/programs/{pid}/exam-assist,session + CSRF for writes,api,300,require_admin;_auth;actor,program_exam.py:215,handler ownership review required
GET,/api/programs/{pid}/exam-papers,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:295,handler ownership review required
POST,/api/programs/{pid}/exam-papers,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:266,handler ownership review required
GET,/api/programs/{pid}/exam-papers/{jid},session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:86,handler ownership review required
POST,/api/programs/{pid}/exam-papers/{jid}/approve,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:492,handler ownership review required
POST,/api/programs/{pid}/exam-papers/{jid}/retry,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:303,handler ownership review required
POST,/api/programs/{pid}/exam-prompt,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:245,handler ownership review required
GET,/api/programs/{pid}/exam-setup,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:97,handler ownership review required
PUT,/api/programs/{pid}/exam-setup,session + CSRF for writes,api,300,require_admin;_auth,program_exam.py:106,handler ownership review required
GET,/api/programs/{pid}/generation-jobs,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:965,handler ownership review required
GET,/api/programs/{pid}/historical-observations,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:533,handler ownership review required
POST,/api/programs/{pid}/historical-observations,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:516,handler ownership review required
POST,/api/programs/{pid}/historical-observations/{oid}/review,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:546,handler ownership review required
GET,/api/programs/{pid}/historical-profiles,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:584,handler ownership review required
POST,/api/programs/{pid}/historical-profiles,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:564,handler ownership review required
GET,/api/programs/{pid}/inventory,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:759,handler ownership review required
POST,/api/programs/{pid}/inventory,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:732,handler ownership review required
POST,/api/programs/{pid}/inventory/{qid}/review,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:781,handler ownership review required
POST,/api/programs/{pid}/jobs/{kind}/{jid}/retry,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:973,handler ownership review required
GET,/api/programs/{pid}/official-pattern,session + CSRF for writes,api,300,require_admin;_auth,official_exam.py:327,handler ownership review required
POST,/api/programs/{pid}/official-pattern,session + CSRF for writes,api,300,require_admin;_auth,official_exam.py:336,handler ownership review required
POST,/api/programs/{pid}/paper-feasibility,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:832,handler ownership review required
GET,/api/programs/{pid}/paper-runs,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:853,handler ownership review required
POST,/api/programs/{pid}/paper-runs,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:840,handler ownership review required
POST,/api/programs/{pid}/paper-runs/{rid}/approve,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:861,handler ownership review required
POST,/api/programs/{pid}/paper-runs/{rid}/generate-missing,session + CSRF for writes,expensive,12,require_admin;_auth,blueprint_api.py:896,handler ownership review required
GET,/api/programs/{pid}/prompts,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:602,handler ownership review required
POST,/api/programs/{pid}/prompts,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:610,handler ownership review required
GET,/api/programs/{pid}/refinements,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:683,handler ownership review required
POST,/api/programs/{pid}/refinements,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:666,handler ownership review required
POST,/api/programs/{pid}/refinements/{rid}/accept,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:698,handler ownership review required
POST,/api/programs/{pid}/restore,session + CSRF for writes,api,300,,blueprint_api.py:139,handler ownership review required
GET,/api/programs/{pid}/setup,session + CSRF for writes,api,300,require_admin;_auth,blueprint_setup.py:151,handler ownership review required
POST,/api/programs/{pid}/setup,session + CSRF for writes,api,300,require_admin;_auth,blueprint_setup.py:132,handler ownership review required
POST,/api/programs/{pid}/setup/{jid}/apply,session + CSRF for writes,api,300,require_admin;_auth,blueprint_setup.py:173,handler ownership review required
POST,/api/programs/{pid}/setup/{jid}/retry,session + CSRF for writes,api,300,require_admin;_auth,blueprint_setup.py:159,handler ownership review required
GET,/api/programs/{pid}/sources,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:415,handler ownership review required
POST,/api/programs/{pid}/sources,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:403,handler ownership review required
POST,/api/programs/{pid}/sources/{sid}/review,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:430,handler ownership review required
GET,/api/programs/{pid}/training-export,session + CSRF for writes,api,300,require_admin;_auth,blueprint_api.py:986,handler ownership review required
GET,/api/public/exams,public allowlist,api,300,,platform_api.py:465,handler ownership review required
POST,/api/public/exams/{exam_id}/register,session + CSRF for writes,api,300,_session,platform_api.py:482,handler ownership review required
GET,/api/public/programs,public allowlist,api,300,,platform_api.py:476,handler ownership review required
GET,/api/question-concerns,session + CSRF for writes,api,300,_auth;_session,result_features.py:170,handler ownership review required
POST,/api/question-concerns,session + CSRF for writes,api,300,_auth;_session,result_features.py:148,handler ownership review required
PUT,/api/question-concerns/{cid},session + CSRF for writes,api,300,require_admin;_auth,result_features.py:195,handler ownership review required
GET,/api/questions,session + CSRF for writes,api,300,,app.py:916,handler ownership review required
POST,/api/questions,session + CSRF for writes,api,300,,app.py:1172,handler ownership review required
DELETE,/api/questions/{qid},session + CSRF for writes,api,300,,app.py:1221,handler ownership review required
GET,/api/questions/{qid},session + CSRF for writes,api,300,,app.py:945,handler ownership review required
PUT,/api/questions/{qid},session + CSRF for writes,api,300,require_admin;_auth,app.py:1187,handler ownership review required
GET,/api/questions/{qid}/explain,session + CSRF for writes,api,300,,app.py:954,handler ownership review required
POST,/api/questions/{qid}/explain/like,session + CSRF for writes,expensive,12,,app.py:1146,handler ownership review required
GET,/api/questions/{qid}/versions,session + CSRF for writes,api,300,,app.py:1162,handler ownership review required
GET,/api/register/exam/{token},session + CSRF for writes,api,300,,exam_conduct.py:288,handler ownership review required
POST,/api/register/exam/{token},session + CSRF for writes,api,300,,exam_conduct.py:293,handler ownership review required
POST,/api/register/exam/{token}/enroll,session + CSRF for writes,api,300,_auth,exam_conduct.py:409,handler ownership review required
GET,/api/results/{sid}/report,session + CSRF for writes,api,300,_auth,result_features.py:92,handler ownership review required
GET,/api/results/{sid}/report.pdf,session + CSRF for writes,api,300,require_admin;_auth,result_features.py:103,handler ownership review required
DELETE,/api/results/{sid}/share,session + CSRF for writes,api,300,_auth,result_features.py:121,handler ownership review required
POST,/api/results/{sid}/share,session + CSRF for writes,api,300,require_admin;_auth,result_features.py:110,handler ownership review required
POST,/api/sessions/{session_id}/security-events,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:121,handler ownership review required
GET,/api/sessions/{sid},session + CSRF for writes,api,300,_auth;_session,platform_api.py:636,handler ownership review required
PUT,/api/sessions/{sid}/answers/{qid},session + CSRF for writes,api,300,_auth;_session,platform_api.py:650,handler ownership review required
GET,/api/sessions/{sid}/question-flags,session + CSRF for writes,api,300,_auth;_session,result_features.py:206,handler ownership review required
POST,/api/sessions/{sid}/submit,session + CSRF for writes,api,300,_auth;_session,platform_api.py:662,handler ownership review required
POST,/api/source/parse,session + CSRF for writes,api,300,,app.py:1789,handler ownership review required
POST,/api/sources/{source_id}/digitise-crop,session + CSRF for writes,expensive,12,,app.py:1985,handler ownership review required
GET,/api/sources/{source_id}/pages/{page_number},session + CSRF for writes,api,300,,app.py:1853,handler ownership review required
POST,/api/student/exams/{exam_id}/start,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:97,handler ownership review required
GET,/api/student/profile,session + CSRF for writes,api,300,_auth,exam_conduct.py:310,handler ownership review required
PUT,/api/student/profile,session + CSRF for writes,api,300,_auth,exam_conduct.py:316,handler ownership review required
GET,/api/student/questions/{qid}/explain,session + CSRF for writes,api,300,_auth;_session,platform_api.py:800,handler ownership review required
GET,/api/student/results/{sid}/questions/{qid}/explain,session + CSRF for writes,api,300,_auth;_session,platform_api.py:789,handler ownership review required
PUT,/api/student/sessions/{sid}/questions/{qid}/review,session + CSRF for writes,api,300,_auth;_session,exam_conduct.py:389,handler ownership review required
GET,/api/system/status,session + CSRF for writes,api,300,,app.py:2040,handler ownership review required
POST,/api/tutor/chat,session + CSRF for writes,api,300,_session,tutor_agent.py:137,handler ownership review required
GET,/api/tutor/insights,session + CSRF for writes,api,300,,tutor_agent.py:87,handler ownership review required
GET,/api/tutor/sessions,session + CSRF for writes,api,300,_session,tutor_agent.py:95,handler ownership review required
GET,/api/tutor/sessions/{sid},session + CSRF for writes,api,300,_session,tutor_agent.py:103,handler ownership review required
POST,/api/upload,session + CSRF for writes,upload,20,,app.py:1559,handler ownership review required
